ecosystem,phylum,Count,Total,percent classified,Percentage
Marine,Actinomycetota,38,658,85.56231003039514,5.775075987841945
Marine,Bacillota,49,658,85.56231003039514,7.446808510638298
Marine,Bacteroidota,60,658,85.56231003039514,9.118541033434651
Marine,Bdellovibrionota,12,658,85.56231003039514,1.82370820668693
Marine,Cyanobacteriota,27,658,85.56231003039514,4.103343465045593
Marine,Nitrososphaerota,26,658,85.56231003039514,3.951367781155015
Marine,Planctomycetota,16,658,85.56231003039514,2.43161094224924
Marine,Pseudomonadota,320,658,85.56231003039514,48.632218844984806
Marine,Thermodesulfobacteriota,5,658,85.56231003039514,0.7598784194528876
Terrestrial,Acidobacteriota,24,464,92.88793103448276,5.172413793103448
Terrestrial,Actinomycetota,109,464,92.88793103448276,23.49137931034483
Terrestrial,Bacillota,4,464,92.88793103448276,0.8620689655172413
Terrestrial,Bacteroidota,4,464,92.88793103448276,0.8620689655172413
Terrestrial,Cyanobacteriota,2,464,92.88793103448276,0.43103448275862066
Terrestrial,Planctomycetota,7,464,92.88793103448276,1.5086206896551724
Terrestrial,Pseudomonadota,275,464,92.88793103448276,59.26724137931034
Terrestrial,Thermodesulfobacteriota,3,464,92.88793103448276,0.646551724137931
Marine,Other,10,658,85.56231003039514,1.5197568389057752
Terrestrial,Other,3,464,92.88793103448276,0.646551724137931
