Sample,filtered contigs,ecosystem,NRPS,PKS,RiPP,other,terpene
ERR315859,1957,Marine,2.0,5.0,1.0,6.0,14.0
ERR594308,2077,Marine,19.0,13.0,26.0,19.0,12.0
ERR594312,2896,Marine,4.0,3.0,23.0,29.0,5.0
ERR599168,1315,Marine,0.0,0.0,0.0,2.0,5.0
SRR3719657,5308,Marine,11.0,16.0,33.0,39.0,28.0
SRR3727512,4353,Marine,15.0,4.0,3.0,7.0,30.0
SRR3943823,208,Marine,,,,,
SRR3952299,4620,Marine,10.0,12.0,16.0,15.0,26.0
SRR3979410,1,Terrestrial,,,,,
SRR3989440,384,Terrestrial,3.0,1.0,3.0,1.0,2.0
SRR4030043,1353,Terrestrial,2.0,1.0,5.0,4.0,0.0
SRR4289282,1,Terrestrial,,,,,
SRR4289291,47,Terrestrial,,,,,
SRR4465034,1182,Marine,0.0,1.0,0.0,1.0,10.0
SRR5207236,2694,Terrestrial,26.0,8.0,21.0,5.0,10.0
SRR5207629,148,Terrestrial,0.0,0.0,2.0,0.0,0.0
SRR5208282,7671,Terrestrial,74.0,56.0,88.0,19.0,51.0
SRR5210996,5404,Marine,60.0,8.0,13.0,13.0,4.0
SRR5262247,189,Terrestrial,3.0,0.0,1.0,0.0,1.0
SRR9040676,1417,Terrestrial,8.0,16.0,10.0,4.0,6.0
